PlannerID,Name,ProjectID,Expertise
P01,Alice Green,101,Landscape Architecture
P02,Bob White,102,Urban Design
P03,Carol Smith,103,Renewable Energy
P04,David Brown,104,Ecology
P05,Eva Johnson,105,Water Management
P06,Frank Clark,106,Waste Management
P07,Grace King,107,Transport Planning
P08,Henry Davis,108,Public Policy
P09,Ivy Edwards,109,Environmental Science
P10,Jack Wilson,110,Architecture
P11,Kara Lewis,111,Conservation
P12,Leo Harris,112,Energy Systems
P13,Mona Taylor,113,Water Engineering
P14,Ned Walker,114,Air Quality
P15,Olivia Martinez,115,Urban Planning
P16,Paul Robinson,101,Horticulture
P17,Quinn Evans,102,Green Technology
P18,Rita Scott,103,Sustainable Development
P19,Sam Turner,104,Forestry
P20,Tina Hughes,105,Hydrology
