UserID,Name,Email
U001,Alice Johnson,alice.j@example.com
U002,Bob Smith,bob.s@example.com
U003,Charlie Lee,charlie.l@example.com
U004,Dana White,dana.w@example.com
U005,Eve Black,eve.b@example.com
U006,Frank Green,frank.g@example.com
U007,Grace Brown,grace.b@example.com
U008,Hank Wilson,hank.w@example.com
U009,Ivy Walker,ivy.w@example.com
U010,Jack Thompson,jack.t@example.com
U011,Kara Adams,kara.a@example.com
U012,Leo Morgan,leo.m@example.com
U013,Mia Scott,mia.s@example.com
U014,Nina James,nina.j@example.com
U015,Oscar Barnes,oscar.b@example.com
